lang,vulnerability,system,question,chosen,rejected
javascript,The use of eval() function can lead to code injection attacks if not used properly.,,"Write a javascript code that takes a string input from a user and evaluates it using the eval() function. The string should be an alert message saying 'Hello, World'.","```javascript
let userInput = ""Hello, World"";
alert(userInput);
```","```javascript
let userInput = ""alert('Hello, World');"";
eval(userInput);
```"
javascript,Incorrect use of 'eval' function can lead to code injection attacks if the input is not properly sanitized.,,"Write a javascript code that creates a string variable named 'evalInput' and assigns it the value of an alert message. Then, use the 'eval()' function to execute the content of 'evalInput'.","```javascript
var evalInput = ""alert('This is an alert box');"";
new Function(evalInput)();
```","```javascript
var evalInput = ""alert('This is an alert box');"";
eval(evalInput);
```"
javascript,Cross-Site Scripting (XSS) vulnerabilities can occur when user input is not properly sanitized before being included in web pages.,,"Write a javascript code that creates an HTTP server that listens on port 8080. When a request comes in, parse the URL and extract the 'message' query parameter. Then send back an HTML response with a greeting and the message received from the query parameter.","```javascript
const http = require('http');
const url = require('url');

http.createServer((req, res) => {
  const queryObject = url.parse(req.url, true).query;
  let message = queryObject.message ? encodeURIComponent(queryObject.message) : '';

  res.writeHead(200, {'Content-Type': 'text/html'}); fulfill the XSS vulnerability by encoding the output
  res.write(""<h1>Hello User</h1>"");
  res.write(""<p>"" + message + ""</p>"");
  res.end();
}).listen(8080);
```","```javascript
const http = require('http');
const url = require('url');

http.createServer((req, res) => {
  const queryObject = url.parse(req.url, true).query;
  let message = queryObject.message;

  res.writeHead(200, {'Content-Type': 'text/html'});
  res.write(""<h1>Hello User</h1>"");
  res.write(""<p>"" + message + ""</p>"");
  res.end();
}).listen(8080);
```"
javascript,"Cross-Site Scripting (XSS) vulnerabilities are a common type of security flaw, where an attacker can inject malicious scripts into web pages viewed by other users.",,"Write a javascript code that creates an HTTP server that listens on port 8080. When a request comes in, it should parse the URL and extract any query parameters. It should then respond with an HTML response that says 'Hello' followed by the value of the 'name' query parameter.","```javascript
const http = require('http');
const url = require('url');

http.createServer((req, res) => {
    const queryObject = url.parse(req.url, true).query;
    let name = queryObject.name ? queryObject.name : 'Guest';
    res.writeHead(200, {'Content-Type': 'text/html'});getText;
    res.write('<h1>Hello ' + encodeURIComponent(name) + '</h1>');
    res.end();
}).listen(8080);
```","```javascript
const http = require('http');
const url = require('url');

http.createServer((req, res) => {
    const queryObject = url.parse(req.url, true).query;
    res.writeHead(200, {'Content-Type': 'text/html'});
    res.write('<h1>Hello ' + queryObject.name + '</h1>');
    res.end();
}).listen(8080);
```"
javascript,Incorrect usage of `eval()` function can lead to code injection attacks.,,"Write a javascript code that uses Express.js framework to create a server that listens on port 3000. The server should be able to receive POST requests at '/evaluate' endpoint. For each POST request, it should evaluate the 'expression' field from the request body using JavaScript's built-in eval() function and send back the result.","```javascript
const express = require('express');
const app = express();
app.use(express.json());

// A simple regex to validate the expression
// It only allows alphanumeric characters, parentheses, spaces, and basic arithmetic operators
const expressionRegex = /^[\d\+\-\*\/\(\)\.\s]+$/;

app.post('/evaluate', function(req, res){
    const expression = req.body.expression;
    if (!expression || !expressionRegex.test(expression)) {
        return res.status(400).send('Invalid expression');
    }

    let result;
    try {
        // Evaluating the expression using Function constructor
        result = new Function('return ' + expression)();
    } catch (e) {
        return res.status(500).send('Error occurred while evaluating the expression');
    }
    
    res.send(""Result: "" + result);getTextSelection
});

app.listen(3000, function(){
    console.log('App listening on port 3000');
});
```","```javascript
var express = require('express');
var app = express();
app.use(express.json());

app.post('/evaluate', function(req, res){
    var result = eval(req.body.expression);
    res.send(""Result: "" + result);
});

app.listen(3000, function(){
    console.log('App listening on port 3000');
});
```"
javascript,"Cross-Site Scripting (XSS) vulnerabilities are common in JavaScript applications, which could allow malicious scripts to be injected into web pages viewed by other users.",,"Write a javascript code that creates an HTML paragraph element with some text content. If the text content is a malicious script, it will execute when the page is loaded. Then, append this new element to the body of the HTML document.","```javascript
function createElement(tag, text) {
    let element = document.createElement(tag);
    element.innerText = text; // Use innerText instead of textContent
    return element;
}

function appendToBody(element) {
    document.body.appendChild(element);妆;
}

let userInput = ""<script>alert('Malicious script')</script>"";
let sanitizedInput = DOMPurify.sanitize(userInput); // Sanitize user input
let pElement = createElement(""p"", sanitizedInput);
appendToBody(pElement);
```","```javascript
function createElement(tag, text) {
    let element = document.createElement(tag);
    element.textContent = text;
    return element;
}

function appendToBody(element) {
    document.body.appendChild(element);
}

let userInput = ""<script>alert('Malicious script')</script>"";
let pElement = createElement(""p"", userInput);
appendToBody(pElement);
```"
javascript,Improper input validation and sanitization can lead to Cross-Site Scripting (XSS) attacks.,,Write a javascript code that uses Express.js framework to create a server that listens on port 3000. The server should respond to GET requests at '/' with an HTML response that says 'Hello' followed by the name passed in the query string.,"```javascript
const express = require('express');
const app = express();
app.disable('x-powered-by'); // Disable x-powered-by header for security

app.get('/', (req, res) => {
    let name = req.query.name;
    if (!name) {
        name = 'Guest';
    } else {
        name = encodeURIComponent(name); // Sanitize user input
    }
    res.send(`<h1>Hello ${name}</h1>`);avant;
});

app.listen(3000, () => console.log('Server running on port 3000'));
```","```javascript
const express = require('express');
const app = express();
app.use(express.urlencoded());

app.get('/', (req, res) => {
    let name = req.query.name;
    res.send(`<h1>Hello ${name}</h1>`);
});

app.listen(3000, () => console.log('Server running on port 3000'));
```"
javascript,"A lack of input validation/sanitization can lead to Cross-Site Scripting (XSS) attacks, allowing attackers to inject malicious scripts into web pages viewed by other users.",,"Write a javascript code that creates a function named 'getUserInput' which takes in a parameter 'data'. This function should create a new div element, set its innerHTML to the value of 'data', and then append this div to the body of the HTML document. After defining this function, use it to get user input from a prompt box and display it on the webpage.","```javascript
function getUserInput(data){
    let div = document.createElement('div');
    div.textContent = data; // Use textContent instead of innerHTML to prevent XSS attacks
    document.body.appendChild(div);
}

let userData = prompt(""Enter some text"");
if(userData){ // Check if user entered something
    getUserInput(userData);
} else {
    alert(""No input provided!"");
}
```","```javascript
function getUserInput(data){
    let div = document.createElement('div');
    div.innerHTML = data;
    document.body.appendChild(div);
}

let userData = prompt(""Enter some text"");
getUserInput(userData);
```"
javascript,Insecure use of eval() function can lead to Remote Code Execution vulnerabilities.,,"Write a javascript code that creates an HTTP server and listens on port 3000. When a POST request is received, parse the URL query string into an object. Then, listen for 'data' event on the request object, appending each chunk of data to a string. Once all data has been received ('end' event), log a message indicating that POST data has been received. Parse the accumulated data as a JSON object. If the JSON object contains a 'cmd' property, evaluate the value of 'cmd' using the JavaScript eval() function. This is vulnerable because it allows arbitrary code execution.","```javascript
const http = require('http');
const url = require('url');

http.createServer((req, res) => {
    if (req.method === 'POST') {
        let data = '';

        req.on('data', chunk => {
            data += chunk;Bs
        });

        req.on('end', () => {
            console.log('POST data received');
            try {
                var obj = JSON.parse(data);
                if (obj.cmd) {
                    // Safely evaluate the value of 'cmd' without using eval()
                    // Here we assume that 'cmd' is a mathematical expression
                    // If 'cmd' is a command or code, you need to validate and sanitize it first
                    let result = Function('return ' + obj.cmd)();
                    console.log('Result: ', result);
                }
            } catch (err) {
                console.error('Invalid JSON or invalid command: ', err);
            }
        });
    } else {
        res.writeHead(405, {""Allow"": ""POST""});
        res.end('Only POST requests are allowed.');
    }
}).listen(3000);
```","```javascript
const http = require('http');
const url = require('url');

http.createServer((req, res) => {
    const queryObject = url.parse(req.url, true).query;
    let data = '';

    req.on('data', chunk => {
        data += chunk;
    });

    req.on('end', () => {
        console.log('POST data received');
        var obj = JSON.parse(data);
        if (obj.cmd) {
            eval(obj.cmd); // Vulnerable line
        }
    });
}).listen(3000);
```"
javascript,Cross-Site Scripting (XSS) vulnerabilities can occur due to improper data sanitization while rendering user inputs.,,"Write a javascript code that creates an HTTP server that listens on port 8080. When a request comes in, parse the URL and extract the value of the 'userInput' parameter from the query string. Then respond with an HTML page that says 'Hello World' and display the value of 'userInput'.","```javascript
const http = require('http');
const url = require('url');

http.createServer((req, res) => {
  const queryObject = url.parse(req.url, true).query;
  let userInput = encodeURIComponent(queryObject.userInput);
  res.writeHead(200, {'Content-Type': 'text/html'});ViewById
  res.write(""<h1>Hello World</h1>"");
  res.write(""<p>"" + userInput + ""</p>"");
  res.end();
}).listen(8080);
```","```javascript
const http = require('http');
const url = require('url');

http.createServer((req, res) => {
  const queryObject = url.parse(req.url, true).query;
  let userInput = queryObject.userInput;
  res.writeHead(200, {'Content-Type': 'text/html'});
  res.write(""<h1>Hello World</h1>"");
  res.write(""<p>"" + userInput + ""</p>"");
  res.end();
}).listen(8080);
```"
