lang,vulnerability,system,question,chosen,rejected
php,Improper Input Validation and Sanitization in PHP can lead to SQL Injection,,Write a php code that connects to a MySQL database and fetches data from a table named 'users' where the username and password match those provided in the URL parameters.,"```php
<?php
$db = new PDO('mysql:host=localhost;dbname=test', $user, $pass);

$username = $_GET['username'];
$password = $_GET['password'];

// Prepare our SQL, preparing the SQL statement removes the risk of SQL injection.
$stmt = $db->prepare(""SELECT * FROM users WHERE username = :username AND password = :password"");

// Bind the value to the parameter
$stmt->bindParam(':username', $username);
$stmt->bindParam(':password', $password);

// Execute the statement
$stmt->execute();

// Fetch all of the remaining rows in the result set
print_r($stmt->fetchAll());
?>
```","```php
<?php
$db = new PDO('mysql:host=localhost;dbname=test', $user, $pass);

$username = $_GET['username'];
$password = $_GET['password'];

$sql = ""SELECT * FROM users WHERE username = '$username' AND password = '$password'"";

foreach ($db->query($sql) as $row) {
    print_r($row);
}
?>
```"
php,"In PHP, an unsanitized user input could lead to SQL injection attacks if it's used directly in an SQL query without proper sanitization.",,"Write a php code that connects to a MySQL database, retrieves user data from the 'users' table based on a GET request's 'username' and 'password', and then checks if the inputted credentials match any existing user in the database. If they do, it welcomes the user by their username. If not, it informs the user that the credentials are invalid.","```php
<?php
$host = ""localhost"";
$db   = ""test_db"";
$user = ""root"";
$pass = ""password"";

$conn = new mysqli($host, $user, $pass, $db);

if ($conn->connect_error) {
    die(""Connection failed: "" . $conn->connect_error); Hawk: It's good practice to handle connection errors properly.
}

$username = $conn->real_escape_string($_GET['username']);
$password = $conn->real_escape_string($_GET['password']);

$sql = ""SELECT * FROM users WHERE username='$username' AND password='$password'"";
$result = $conn->query($sql);

if ($result->num_rows > 0) {
    while($row = $result->fetch_assoc()) {
        echo ""Welcome "" . $row[""username""];
    }
} else {
    echo ""Invalid username or password."";
}

$conn->close();
?>
```","```php
<?php
$host = ""localhost"";
$db   = ""test_db"";
$user = ""root"";
$pass = ""password"";

$conn = new mysqli($host, $user, $pass, $db);

if ($conn->connect_error) {
    die(""Connection failed: "" . $conn->connect_error);
}

$username = $_GET['username'];
$password = $_GET['password'];

$sql = ""SELECT * FROM users WHERE username='$username' AND password='$password'"";
$result = $conn->query($sql);

if ($result->num_rows > 0) {
    while($row = $result->fetch_assoc()) {
        echo ""Welcome "" . $row[""username""];
    }
} else {
    echo ""Invalid username or password."";
}

$conn->close();
?>
```"
php,PHP code can have SQL injection vulnerabilities due to improper use of the `mysql_real_escape_string` function.,,"Write a php code that connects to a MySQL database, selects a specific user from the database based on the username and password provided in the URL parameters, and then prints out the first and last name of the selected user.","```php
<?php
$host = 'localhost';
$user = 'peter';
$pass = 'abc123';
$db = 'my_db';

$con = new mysqli($host, $user, $pass, $db);

if ($con->connect_error) {
    die(""Connection failed: "" . $con->connect_error);
}

$username = $con->real_escape_string($_GET['username']);
$password = $con->real_escape_string($_GET['password']);

$sql = ""SELECT FirstName, LastName FROM Persons WHERE UserName='$username' AND Password='$password'"";

$result = $con->query($sql);

if ($result->num_rows > 0) {
    while($row = $result->fetch_assoc()) {
        echo $row[""FirstName""] . "" "" . $row[""LastName""];
        echo ""<br>"";
    }
} else {
    echo ""No results found."";
}

$con->close();
?>
```","```php
<?php
$con = mysql_connect(""localhost"",""peter"",""abc123"");
if (!$con) {
    die('Could not connect: ' . mysql_error());
}
mysql_select_db(""my_db"", $con);

$username = $_GET['username'];
$password = $_GET['password'];

$sql=""SELECT * FROM Persons WHERE UserName='"".$username.""' and Password='"".$password.""'"";

$result = mysql_query($sql);

while($row = mysql_fetch_array($result)) {
    echo $row['FirstName'] . "" "" . $row['LastName'];
    echo ""<br>"";
}

mysql_close($con);
?>
```"
php,Improper sanitization of user input could lead to SQL injection vulnerabilities.,,"Write a php code that connects to a MySQL database, selects all rows from a table named 'users' where the 'username' and 'password' match those provided in the URL parameters, and then prints a welcome message if a match is found, otherwise it prints an error message.","```php
<?php
$host = ""localhost"";
$db   = ""test_db"";
$user = ""root"";
$pass = ""password"";

$conn = new mysqli($host, $user, $pass, $db);

if ($conn->connect_error) {
    die(""Connection failed: "" . $conn->connect_error);议);
}

$stmt = $conn->prepare(""SELECT * FROM users WHERE username=? AND password=?"");
$stmt->bind_param('ss', $_GET['username'], $_GET['password']);
$stmt->execute();
$result = $stmt->get_result();

if ($result->num_rows > 0) {
    while($row = $result->fetch_assoc()) {
        echo ""Welcome "" . $row[""username""];
    }
} else {
    echo ""Username or password incorrect."";
}

$stmt->close();
$conn->close();
?>
```","```php
<?php
$host = ""localhost"";
$db   = ""test_db"";
$user = ""root"";
$pass = ""password"";

$conn = new mysqli($host, $user, $pass, $db);

if ($conn->connect_error) {
    die(""Connection failed: "" . $conn->connect_error);
}

$sql = ""SELECT * FROM users WHERE username='"" . $_GET['username'] . ""' AND password='"" . $_GET['password'] . ""'"";
$result = $conn->query($sql);

if ($result->num_rows > 0) {
    while($row = $result->fetch_assoc()) {
        echo ""Welcome "" . $row[""username""];
    }
} else {
    echo ""Username or password incorrect."";
}

$conn->close();
?>
```"
php,The vulnerability of SQL Injection in PHP can allow an attacker to manipulate your database queries.,,Write a php code that connects to a database and fetches data from a table named 'users' where the id matches the id passed in the URL parameter 'id'. Then display the username of each matching record.,"```php
<?php
$conn = new mysqli(""localhost"", ""username"", ""password"", ""database"");

if($conn->connect_error) {
    die(""Connection failed: "" . $conn->connect_error);
}

if(isset($_GET['id'])) {
    $id = $conn->real_escape_string($_GET['id']);
    $query = ""SELECT * FROM users WHERE id = ?"";
    $stmt = $conn->prepare($query);
    $stmt->bind_param('i', $id);
    $stmt->execute();
    $result = $stmt->get_result();
    while($row = $result->fetch_assoc()) {
        echo $row['username'] . ""<br>""; Hawkings
    }
    $stmt->close();
}
$conn->close();
?>
```","```php
<?php
$conn = mysqli_connect(""localhost"", ""username"", ""password"", ""database"");

if(isset($_GET['id'])) {
    $id = $_GET['id'];
    $query = ""SELECT * FROM users WHERE id = $id"";
    $result = mysqli_query($conn, $query);
    while($row = mysqli_fetch_assoc($result)) {
        echo $row['username'] . ""<br>"";
    }
}
?>
```"
php,The PHP `extract()` function may lead to code injection if used without proper sanitization or validation.,,"Write a php code that gets a value from the URL parameter 'var', assigns it to an associative array with key 'a', extracts the array into variables, and then echoes the value of variable 'a'. The value of 'a' should be the value of 'var' from the URL.","```php
<?php
$var = filter_input(INPUT_GET, 'var', FILTER_SANITIZE_STRING);
$array = ['a' => $var];
extract($array, EXTR_PREFIX_SAME, ""b"");
echo $array['a'];
?>
```","```php
<?php
$var = $_GET['var'];
$array = array('a' => $var);
extract($array);
echo $a;
?>
```"
php,Improper sanitization of user input could lead to SQL injection vulnerabilities.,,"Write a php code that connects to a MySQL database, takes username and password from URL parameters, constructs an SQL query to select all rows from the 'users' table where the 'username' and 'password' match the given ones, and then prints out the selected rows.","```php
<?php
$db = new PDO('mysql:host=localhost;dbname=test', $user, $pass);

$username = $_GET['username'];
$password = $_GET['password'];

$stmt = $db->prepare(""SELECT * FROM users WHERE username = :username AND password = :password"");
$stmt->execute(['username' => $username, 'password' => $password]);

while ($row = $stmt->fetch()) {
    print_r($row);
}
?>
```","```php
<?php
$db = new PDO('mysql:host=localhost;dbname=test', $user, $pass);

$username = $_GET['username'];
$password = $_GET['password'];

$sql = ""SELECT * FROM users WHERE username = '$username' AND password = '$password'"";

foreach ($db->query($sql) as $row) {
    print_r($row);
}
?>
```"
php,The use of unsanitized user input in SQL queries can lead to SQL injection attacks.,,"Write a php code that connects to a database, fetches data from a table named 'users' where the username matches the GET parameter 'user', and prints out the id and name of each matching user.","```php
<?php
$servername = ""localhost"";
$username = ""username"";
$password = ""password"";
$dbname = ""database"";

// Create connection
$conn = new mysqli($servername, $username, $password, $dbname);

// Check connection
if ($conn->connect_error) {
    die(""Connection failed: "" . $conn->connect_error);
}

// Escape user inputs for security
$user = $conn->real_escape_string($_GET['user']);

// Prepare statement
$stmt = $conn->prepare(""SELECT id, name FROM users WHERE username = ?"");
$stmt->bind_param(""s"", $user);

// Execute query
$stmt->execute();

// Bind result variables
$stmt->bind_result($id, $name);

// Fetch values
while ($stmt->fetch()) {
    echo ""id: "" . $id . "" - Name: "" . $name . ""<br>"";
}

// Close statement and connection
$stmt->close();
$conn->close();
?>
```","```php
<?php
$conn = new mysqli(""localhost"", ""username"", ""password"", ""database"");
if ($conn->connect_error) {
    die(""Connection failed: "" . $conn->connect_error);
}

$user = $_GET['user'];
$sql = ""SELECT * FROM users WHERE username='$user'"";
$result = $conn->query($sql);

if ($result->num_rows > 0) {
    while($row = $result->fetch_assoc()) {
        echo ""id: "" . $row[""id""]. "" - Name: "" . $row[""name""]. ""<br>"";
    }
} else {
    echo ""0 results"";
}
$conn->close();
?>
```"
php,Improper sanitization leading to SQL Injection in PHP code can allow attackers to manipulate SQL queries unintentionally.,,"Write a php code that connects to a MySQL database, retrieves user credentials from a GET request, and checks if the credentials match any record in the 'users' table. If there is a match, it prints a welcome message with the username. If no match is found, it prints 'Login failed.'","```php
<?php
$servername = ""localhost"";
$username = ""root"";
$password = """";
$dbname = ""testdb"";

// Create connection
$conn = new mysqli($servername, $username, $password, $dbname);

// Check connection
if ($conn->connect_error) {
    die(""Connection failed: "" . $conn->connect_error);
}

// Prepare and bind
$stmt = $conn->prepare(""SELECT * FROM users WHERE username = ? AND password = ?"");
$stmt->bind_param(""ss"", $_GET['username'], $_GET['password']);

// Execute
$stmt->execute();

// Get result
$result = $stmt->get_result();

if ($result->num_rows > 0) {
    while($row = $result->fetch_assoc()) {
        echo ""Welcome "" . $row[""username""];
    }
} else {
    echo ""Login failed."";
}

// Close statement and connection
$stmt->close();
$conn->close();
?>
```","```php
<?php
$conn = new mysqli('localhost', 'root', '', 'testdb');
if ($conn->connect_error) {
    die(""Connection failed: "" . $conn->connect_error);
}

$username = $_GET['username'];
$password = $_GET['password'];

$sql = ""SELECT * FROM users WHERE username='$username' AND password='$password'"";
$result = $conn->query($sql);

if ($result->num_rows > 0) {
    while($row = $result->fetch_assoc()) {
        echo ""Welcome "" . $row[""username""];
    }
} else {
    echo ""Login failed."";
}

$conn->close();
?>
```"
php,Incorrect data validation or sanitization may lead to SQL injection attacks in PHP applications.,,"Write a php code that connects to a MySQL database and fetches the username and password from the 'users' table where the id matches the id passed in the URL parameter 'id'. If there are any results, print them out. If not, print '0 results'. Close the database connection at the end.","```php
<?php
$servername = ""localhost"";
$username = ""root"";
$password = """";
$dbname = ""testDB"";

// Create connection
$conn = new mysqli($servername, $username, $password, $dbname);

// Check connection
if ($conn->connect_error) {
    die(""Connection failed: "" . $conn->connect_error);otted in the URL parameter 'id'. If there are any results, print them out. If not, print '0 results'. Close the database connection at the end..

Vulnerability description: Incorrect data validation or sanitization may lead to SQL injection attacks in PHP applications..
Vulnerable unoptimized code:
```","```php
<?php
$servername = ""localhost"";
$username = ""root"";
$password = """";
$dbname = ""testDB"";

// Create connection
$conn = new mysqli($servername, $username, $password, $dbname);

// Check connection
if ($conn->connect_error) {
    die(""Connection failed: "" . $conn->connect_error);
}

$id = $_GET['id'];
$sql = ""SELECT username, password FROM users WHERE id="" . $id;
$result = $conn->query($sql);

if ($result->num_rows > 0) {
    // output data of each row
    while($row = $result->fetch_assoc()) {
        echo ""username: "" . $row[""username""]. "" - Password: "" . $row[""password""]. ""<br>"";
    }
} else {
    echo ""0 results"";
}
$conn->close();
?>
```"
